Isopod,Isopod_size,Isopod_sex,Infection,Intensity,Cystacanth,Worm_Sex,Worm_Sex2,worm_length,worm_width,volume_cylinder,worm_weight_mg
MJ14                    ,11,M       ,1,1,1,F       ,0,11.5,0.47,1.995186224,0.527
MJ17                    ,7,F       ,1,1,1,F       ,0,8.26,0.38,0.953285747,0.2243
MM13                    ,7.5,F       ,1,1,1,F       ,0,7.55,0.36,0.782793696,0.1424
EE2                     ,6,M       ,1,1,1,F       ,0,6.38,0.33,0.545680507,0.0502
EE6                     ,5.5,F       ,1,1,1,F       ,0,7.32,0.35,0.717745013,0.1003
EE12                    ,5.5,F       ,1,1,1,F       ,0,6.21,0.32,0.489087071,0.0376
EE13                    ,6,F       ,1,1,1,F       ,0,8.16,0.37,0.861634145,0.125
EE43                    ,6,F       ,1,1,1,F       ,0,6.29,0.31,0.485013386,0.0735
LF7                     ,5.5,F       ,1,1,1,F       ,0,6.45,0.36,0.668744283,0.112
LF24                    ,7,F       ,1,1,1,F       ,0,7.15,0.36,0.727781354,0.1646
LF46                    ,9.5,M       ,1,1,1,F       ,0,9.21,0.39,1.081491177,0.2345
LF48                    ,7.5,M       ,1,1,1,F       ,0,8.73,0.4,1.097044155,0.2254
LF49                    ,8,F       ,1,1,1,F       ,0,9.27,0.41,1.243857063,0.2504
LF65                    ,9,M       ,1,1,1,F       ,0,9.37,0.38,1.081390733,0.2829
LF71                    ,7.5,M       ,1,1,1,F       ,0,8.03,0.36,0.817354444,0.1692
LF80                    ,9,M       ,1,1,1,F       ,0,8.75,0.42,1.193096168,0.2308
WL1.17                  ,7,F       ,1,1,1,F       ,0,7.86,0.38,0.907121789,0.1699
WL1.19                  ,6,F       ,1,1,1,F       ,0,5.95,0.37,0.651328952,0.112
WL2.30                  ,7.5,M       ,1,1,1,F       ,0,7.82,0.35,0.766771311,0.1704
WL2.37                  ,8,M       ,1,1,1,F       ,0,9.33,0.38,1.039646995,0.1694
